source_id _x _y pmRA pmDE Plx e_pmRA e_pmDE e_Plx Gmag BP_RP RUWE
64888301484056704 0.3148749142892371 -1.1864638591679817 -3.747890588344464 -9.06346320117714 4.585384062571909 0.13022709 0.0667568 0.090130955 16.661514 nan 0.88139385
65371399407749760 2.624308635908528 -1.1642176971011462 153.08761639986247 9.202721913065838 28.4174539167807 0.021094605 0.01370246 0.019216016 8.645234 1.1082249 1.0670162
58187946345498624 -1.954543467862278 -3.2529069896063123 18.675870852033334 -75.631670834441 4.008322585229036 0.023016416 0.017640734 0.019644031 13.681195 1.3681803 1.0636681
69854348831573504 0.1125156070594006 1.1319569792558573 19.37996475282249 -43.662358221933445 7.177210726519302 0.036323443 0.026946051 0.033257093 15.038713 2.4484262 1.0530971
69005216616698880 -4.489859037088872 0.562948647601026 23.501387458925187 -5.796013003045158 5.647920979767814 0.045218278 0.032368794 0.037067547 14.90116 2.1321392 1.0382951
61791973662635008 -4.275624086171915 -1.7461199075248577 53.1528488322124 -33.69663677639956 4.951501271932504 0.08507238 0.085788175 0.06888004 16.077852 2.5976257 1.1905881
64454715946441344 -1.067634126180962 -1.593905655492634 -4.849949593206026 -19.484412778264407 4.737189358602685 0.10908276 0.06854232 0.08597781 16.944412 2.6307764 1.0568198
68769508811429760 -4.666070465352359 -0.133322927825635 44.66533962809764 -19.202654869048448 7.300245774597996 0.033748034 0.026724128 0.029621452 15.083491 2.5061283 1.0420692
166972286766408832 1.6390645834570057 4.515670291148846 -3.905409422971815 -211.324950586938 4.46859637812718 0.39084685 0.2535732 0.36243853 19.373531 2.2791595 0.9455621
163560811425460992 2.596055808951708 2.9002103811354383 -11.775079489727595 0.1625882558142105 5.621170473773934 0.02039176 0.013795809 0.018009245 10.560498 0.82689095 1.052621
71075459573380992 -0.8529139008322768 2.6576705282037203 66.36687574033158 -63.22364403639794 5.157643819582656 0.044632085 0.036392663 0.04391065 14.558073 2.1934433 1.5558386
51524184327235968 1.776034795284195 -3.65570932904984 -14.34630614262104 -6.912097660608776 4.820098986385345 0.02700292 0.016245332 0.02259978 14.3903885 1.832202 1.1031467
69423542135264896 -2.002272533267055 1.6575739950582549 3.304940203306599 -10.01841221837647 4.290520489384467 0.52136374 0.3649602 0.4030555 19.426575 0.29650497 1.0120655
66937859881182848 0.815006945454861 1.2876770990387896 18.295871155539142 -44.85428144367233 7.01616625251663 0.06648443 0.04923834 0.060382336 12.781891 1.7534046 2.8889759
70571814530382464 1.927580037674042 3.260965179287723 -1.105595485778679 -7.843387706998963 4.226684225771206 0.041503195 0.029439803 0.037501782 14.845899 1.8100061 1.0893526
64068924806095232 0.9487355171615868 -1.555277819695567 -9.149606096187522 -31.03402966750804 7.714405572676729 0.05220721 0.028867275 0.039505094 15.520518 2.5339203 0.9527862
65860643424977536 2.3330416798793387 0.4361146835005707 6.990045239337305 -34.24043281313109 4.507116919167919 0.17663127 0.1364355 0.18360351 18.18847 2.9676132 0.9935273
66596972618024192 1.6029666228471005 0.3113367924951535 34.30955032343824 -35.03120993162039 4.879952178990225 0.18916722 0.111242376 0.14701326 18.048822 2.8562832 1.0514141
53271720620685312 2.6848038168449366 -2.2566851934128023 -10.205333428178438 -7.265780911506855 6.0505396171776376 0.13572131 0.08900199 0.11602278 11.909331 1.1495113 8.245918
65029550073165184 -0.797488363075404 -1.256918431161535 19.86916964413539 -43.85270261842145 7.423268314851199 0.19515191 0.14677067 0.14914918 18.108326 3.4207592 0.9572704
51270884335699840 2.7029739040184277 -4.081448888225448 -16.88810357315404 -46.518137843436165 6.8246429789255 0.041143183 0.023856297 0.03356117 15.300999 2.4227037 1.0706517
69755255345818624 -3.219419023146106 2.483077746000895 70.62941273478683 -35.85266466364227 6.113193296450024 0.036750145 0.029175479 0.031702735 15.071596 2.1559067 0.96963006
70168976659836288 -1.0623450812702528 1.798030517580042 17.98775775122456 -45.28512927264623 6.172331940075964 0.5233466 0.3814685 0.48180825 19.426508 3.1943493 1.0627422
64746876802129920 -0.2959227243329961 -1.8208534976930608 42.16284358736764 -46.95329939305626 5.152373613101815 0.10578116 0.08204242 0.0884549 9.040839 0.66421986 4.1174192
66367419503725440 3.359919578187447 1.1290032978703368 20.77243324439737 -19.243572813988827 6.5761208916836775 0.044559643 0.029464753 0.04024126 15.789037 2.5415964 1.0390877
66695688147432832 1.480245208381889 0.8565441565136999 19.220914096946395 -46.55892535458558 7.418578701587108 0.2634757 0.18925367 0.23560652 18.756567 3.568451 0.9780595
64989490915460608 0.4080996798083357 -0.606468277360605 19.7071210125859 -44.53956232297974 7.318953310037485 0.020182494 0.0153440535 0.019202262 13.712051 1.8174419 1.0550884
71045188643681792 -1.5879720720110453 2.772080434195705 -1.2452235556118278 -1.0350454388440584 4.316171832050982 0.13439777 0.093957886 0.11877599 13.953583 1.7392578 5.0552545
69794528526747136 -3.080922717729664 2.8999604704264934 22.37363688904372 -48.0915787813064 7.814740624052498 0.22909659 0.18473096 0.20361699 18.395054 3.6527958 1.05269
51034351895927936 0.1289865428825129 -4.541485831612557 -10.07549584463974 7.391966883112552 7.53521468571164 0.043407656 0.028168483 0.03484795 15.430257 2.449026 1.0255035
50890350233399808 1.451589069388241 -4.671270899958568 -10.550892427330146 -10.803932906722771 4.092271338625894 0.0393518 0.025054034 0.034554552 14.943973 1.9061708 1.0414362
69829541100441600 -0.5570209525716873 0.8807666213186163 21.268953201729552 -45.12454657473461 7.489878731778486 0.049868528 0.031848103 0.03582036 15.050903 2.4658098 1.0688877
70760105895339264 0.3822005923118688 3.399763646328926 12.151258791085588 -29.377831421186627 5.696042434520541 0.08537418 0.05504354 0.059443343 16.204374 2.4583015 0.9147825
65881847681762432 3.671499533856629 -0.3324688639727924 -1.3456033686429951 -11.656253813814772 4.027780886896985 0.19695157 0.12282979 0.16377246 18.388102 3.036192 0.9851386
51304178922558464 1.9526983246742744 -4.155109361863265 0.5473010319339195 -39.93507553619899 4.839361431927749 0.11528303 0.086105935 0.1014233 17.496078 2.706705 0.96467185
66314780382507520 3.540155691439299 0.9939425214293072 -20.950423825610866 -16.4418934053293 4.806205736144432 0.4708197 0.30490124 0.41752893 19.690771 2.7640038 1.0162691
66481734354737792 1.1474918522941266 -0.2196292909611616 19.113518113426856 -46.862222868873786 7.370803781679368 0.020081712 0.012158865 0.018221663 13.465058 1.7394867 1.0155
64227666795353984 -1.0863917169310482 -2.6409229800185807 24.73817870404184 -25.406078971188467 4.149509831327266 0.1237546 0.088905744 0.10503768 13.933022 1.7666521 6.149113
163282634983879808 3.523030158882755 2.293815180587414 14.665122570002357 2.9463597148254714 4.003004915305326 0.06100509 0.04098838 0.055040017 16.260914 2.4752235 1.0514706
58514054622054528 -2.838403658843402 -2.5734151824152973 20.676105332879224 17.06245560278649 6.062591405303044 0.083907455 0.073322274 0.075893804 16.708513 2.8041143 1.1185951
69704643451409792 -2.6042884395147463 2.2868892028837955 20.758934856325293 -45.31068495132085 7.378745244155373 0.08391572 0.06712412 0.064955086 16.654419 2.9518929 1.0230062
65897000325965568 3.4945481441749577 -0.2311379582194013 78.38603025377593 -56.082918745598505 7.686703647497914 0.02172124 0.014466475 0.020123525 11.752102 1.2233648 1.1534662
64360432824457088 -0.6915897522566877 -2.13552407366786 16.115534658741637 -37.768313337144185 5.683576921547679 0.019134365 0.0137955 0.018740637 11.686229 1.1126375 1.0694119
64715398985972224 -1.40493276560282 -1.145486118518966 0.6144875630400357 5.291404960710773 4.259985611483262 0.15585952 0.11876344 0.13464089 17.827974 3.0045662 1.0585687
71576115320945664 -0.3951625479492304 3.789454184994876 -47.30596792632576 -75.67983013297456 16.65860349128868 0.024312185 0.017274419 0.025129218 6.657615 0.53236437 0.8992735
67374022399524352 1.155639167340831 1.9714249711878469 48.22231115939046 8.552376735729249 4.823144903736013 0.02164559 0.011661238 0.014809082 13.149 1.3851471 1.0312582
70138881825295872 -0.4413421876879913 1.929481153221248 20.43901888057566 -49.06170570056853 8.071197588233643 0.16169818 0.09265481 0.14966023 15.114527 nan 1.3686229
68425013778815872 -2.233431834059486 0.2445066886650555 14.061117074838656 -41.66298927516889 4.943992828544327 0.182583 0.120429665 0.1940101 18.067358 2.8129578 0.97394234
68541802528921216 -1.507543523117193 0.6638242139766575 42.47883636107434 2.5696823306500085 5.179316357657006 0.58660835 0.5390815 0.5934397 19.912838 2.5559158 1.0522095
52979418028662272 3.969918587222741 -2.6303865941790496 50.76210584940876 -34.297403643854175 4.613356304262262 0.48321575 0.27353126 0.39132804 19.425112 0.13707352 1.1142813
162431643045765248 4.107768705886965 1.585926925758898 -26.203669405886103 -38.452087838312615 5.74344758377871 0.55988866 0.28510612 0.49142268 19.517313 3.07691 1.0634879
53278626928222208 2.840505714306954 -2.1570019060100094 8.480867196150065 -10.924741104443155 4.468578624744572 0.05576023 0.03606133 0.06251242 16.18149 2.6871138 0.9839813
67690544307335680 -2.9785745024075965 -0.962754439376094 -29.18318140385561 -36.804029514380126 9.405930654798258 0.041023478 0.027962642 0.029659363 14.907171 2.3721266 1.0524995
53271720620685056 2.685306785041609 -2.2557683725743365 -11.708588300836864 -6.763969205128965 5.398482247767391 0.28013673 0.14160292 0.13944657 17.366943 2.1172304 1.0782932
70345104677737600 -0.0297787349118843 2.8013825293691097 46.695289510594165 -41.07076824739824 6.112027090609642 0.022614319 0.012594992 0.015776925 12.281449 1.209692 0.9942137
67733047303597312 -1.8377317264382504 -0.9325768925758948 -13.847368505811756 -2.842949470870965 7.997302706321537 0.05648271 0.041638486 0.048268534 16.152996 2.6302748 1.0150625
71106933093633536 -0.9780527986767192 3.095486639893421 23.64312959038313 -5.713266223382752 4.075709724388537 0.11123477 0.07958142 0.09246517 17.118286 2.6329336 1.0595841
65217222966811264 -0.0214558428184971 -0.1299855515461465 19.0351746770752 -43.87898685857528 7.590686889973629 0.23392755 0.18701506 0.22254379 18.16214 2.987852 1.0145491
50912542327297920 1.714256228171698 -4.55977775478746 -26.09520560332384 10.16786364587037 4.611164495303078 0.1956349 0.12140462 0.16970015 18.071915 2.8921585 0.9409419
64232752036658432 -1.4528679795660226 -2.723919433377462 42.45098182456762 -26.597200019432663 8.119102098969162 0.050772116 0.037190482 0.050440285 15.709441 2.5066586 1.0981073
57320053713676032 -1.4171221276061896 -4.206771009198178 -25.39059015971285 -7.533767045680171 5.719068139066377 0.096381195 0.08202348 0.078635365 17.015776 2.8182592 0.9961584
71836111165260416 -0.7422522188744645 4.59052662403245 68.32799142622414 -114.61987041453982 5.885687703619437 0.18357958 0.13156104 0.15092762 17.598629 3.2117882 0.9595074
67639210858247040 -3.1670539428403144 -1.401635002813128 17.98976666600979 11.171684006813612 5.175202638463699 0.10968204 0.077426724 0.09806957 17.193281 2.90242 1.0446268
51279646068945408 2.8462201179939446 -3.923643430197519 30.360259742107218 -34.866768617295214 5.724501544765527 0.43346062 0.22086649 0.30584946 19.129389 3.0733776 1.0222403
66551686483467904 0.8185433823273128 0.0846372291502932 19.92888791242963 -43.61824072889623 7.205215857775971 0.1466905 0.09805822 0.117894374 17.795551 3.351303 1.0355865
51590120663022976 1.5162755309620777 -3.429622801587195 76.10303238869575 -38.986102457949926 6.231912079123647 0.07236843 0.04594481 0.057299383 11.360729 1.010253 2.7777257
63998899657956608 0.072520851073371 -1.856732057872607 -26.51289421592952 -18.86715927457804 5.780607375484929 0.16509064 0.1826058 0.1406647 17.736736 nan 0.8658839
63289920816208768 -0.0188574859015883 -3.2377387407590046 20.26118055272181 -44.14982886757803 7.33271113773573 0.026612338 0.018591544 0.021578562 11.310213 1.0420599 1.2028999
51750748145042176 2.0162279406364862 -2.5824502184428733 20.83787039393524 -49.02386920748215 7.7338647880270175 0.13257885 0.08274556 0.116306484 17.599648 3.3178883 0.9937293
68088258279063936 -2.9552760214076312 0.1177679151456578 -6.273943246344335 -9.119499068911235 4.770811205032021 0.09714875 0.086068474 0.084803626 17.14194 2.1622734 0.85774964
64490342699512832 -2.349127704303863 -2.2049932903353406 30.377076509923512 -31.29542462451713 7.563503659874241 0.2373013 0.15824355 0.1989388 18.417286 3.5835361 0.9917099
53402356346208256 3.884218545938439 -1.3101480889224872 21.96107558139763 -24.636037182775745 4.71594434928611 0.17329521 0.09764151 0.12966298 17.671282 3.1674995 1.0480202
66714418501518848 0.2478661917057436 0.000463557963 20.936026699698907 -44.53787427995938 7.311236732528621 0.1294728 0.08944689 0.095931165 16.843014 2.087882 0.9165302
66303647829466880 3.6767436942327354 0.979800633927973 -3.195971006613457 -14.640395659992222 4.17890286761152 0.106018424 0.070848405 0.09736472 12.914902 1.1813354 5.9588313
66733763034205696 0.1669451888008156 0.1928520126780463 21.055021775947186 -47.460814017984816 7.383106353077731 0.07287903 0.052208103 0.05705579 15.690887 2.7416039 1.1348422
70784638748490624 0.3681994406950933 3.626702531039748 57.9919039769684 -70.64775621132 4.21248351081646 0.04060922 0.0218241 0.023968002 11.720467 0.92186165 1.308807
71477124914657792 -1.7224549763570112 4.043622651463139 -2.880742637451164 -19.372209535779533 5.13437032428183 0.25278306 0.21003598 0.24000886 18.732307 3.280878 0.87241036
70939669887348736 -1.6403814306719813 2.0794962129613355 11.335685725176427 -21.39998002085867 4.385889903934976 0.118390985 0.094077416 0.14096148 12.972093 1.5677004 5.648883
70480555064791296 0.8789170436917341 2.7121715936938475 -12.405854154238613 -17.034049019853818 4.041360397350802 0.3110987 0.21170953 0.29857668 19.07627 2.9263268 1.0370675
53092328427534336 4.214586367270203 -2.1095400131797155 4.321221385309135 -14.819747273164788 8.360091496659821 0.019767832 0.010947302 0.0174258 13.089368 2.170785 1.107663
67876494915834880 -3.3850692232098503 -0.9126338982859018 24.83812653618032 -11.954749406914043 4.637911156663124 0.2960246 0.24940167 0.2570132 18.808064 3.2947407 1.0291841
64790170072406528 0.1316893429195306 -1.3959766147901962 30.750460321604574 -13.640709457992958 5.044583907626442 0.023129817 0.015813053 0.020211214 11.632899 0.9600382 1.0837016
64944170420647296 0.7291428181556922 -0.6574469494243808 20.770167835185354 -48.46166158266465 6.929722541761512 0.20185381 0.143899 0.1739673 13.602488 1.8905611 12.56627
66049351406747264 4.493970790369489 0.5295427477100676 63.74288380855374 -86.93731623499178 8.21608458571596 0.022552228 0.012815327 0.02062003 14.05882 2.0605736 1.0980768
69011981189721856 -4.31083581158389 0.6015829328910495 2.958423381321977 -11.812082740701488 5.323443191653386 0.07208777 0.04787361 0.062342733 16.247889 2.6629753 0.88775766
163481264333982208 3.7788684941755406 3.241671384670734 -6.473489000069455 12.667404559609444 4.092392766981346 0.11352991 0.07156522 0.09901486 17.454021 2.582983 1.0771472
51288373442522880 2.523457908488493 -3.93911858252416 10.270658893208145 -16.550086840893282 4.20614487035628 0.13648286 0.07449604 0.10396979 17.337557 2.7583504 0.98694605
65783029073414144 2.2642837304864045 -0.1297944804264849 18.991027601357587 -46.59379000993002 7.444990183139546 0.035082318 0.021175466 0.026032036 14.732029 2.3377056 1.073541
66802276352348416 -0.2735359751526127 0.4724091761036437 20.809393414603463 -44.70206664623241 7.521436338801172 0.03309192 0.017603824 0.020496517 13.399992 1.7045574 1.0836426
