GaiaDR3,Prob,inrt,Gmag,BP-RP,Plx,pmRA,pmDE,RA_ICRS,DE_ICRS,RUWE
51619120284286976,0.613449397417252,"True ",11.657691,1.1711817,7.312472679577789,19.218960776558568,-44.58412710750801,58.37032575933,20.90716534012,1.294968
51622315739944704,0.394594624518512,"False",16.850912,3.072917,8.29081962283454,21.857845659931144,-50.532820894494655,58.38159531373,20.95729172966,1.0518576
51674920499533184,0.355030255804332,"False",10.8812,0.97218513,8.14863153528414,21.713821129795985,-50.514566511496724,58.88317904683,21.07926915812,1.2542509
51677669278703104,0.472296995849378,"False",15.828851,2.7979154999999998,7.545966627408137,19.28767320228885,-46.822673216937936,59.09302532017,21.12119347943,1.0911435
51681655008229632,0.350291770740768,"False",15.5733385,2.7553263,6.903112509285608,18.13826550652013,-41.37974701686353,58.98985191625,21.17730735917,2.0430796
51693337319356032,0.272596793881373,"False",18.693808,3.8873577000000004,7.871350299247628,17.684837652608874,-47.053162141379005,59.42338944281,21.30421442148,0.97961164
51694746068624128,0.475607698755147,"False",11.235501,1.0230894,7.336126720514977,17.664258010538923,-44.9401682147099,59.59016692869,21.25746893773,1.2471755
51717114258148864,0.193025689641188,"False",15.6706915,2.7192078,7.108004178999307,21.52077849737547,-42.46287562556694,59.31203677755,21.51690519776,1.1736419
51730067879582080,0.218046313752651,"False",14.325708,2.2098265,6.739295486641266,19.17097979510673,-44.53663315183073,58.91469673384,21.27260374153,1.4717368
51742471745296768,0.398412996597794,"False",10.7659445,0.91490746,7.4893189973190175,19.08639497329961,-47.242977939221646,58.61605936197,21.38953569124,1.4724106
51750748145042176,0.336322363748343,"False",17.599648,3.3178883000000003,7.7338647880270175,20.83787039393524,-49.02386920748215,58.76511398735,21.5192294329,0.9937293
51760270089541504,0.478359591951028,"False",17.056017,3.0914402,7.050928928167678,18.148940758511863,-44.07519446975317,59.16155571518,21.58550841575,1.0451274
51761575759616000,0.282484111940278,"False",15.093677,2.8862,7.4021620145014575,19.327569151063624,-48.55931966340614,59.01898059401,21.54496445922,2.7703176
51765595848971648,0.531420486629818,"True ",16.671072,3.0679607000000004,7.2069874816772375,18.315870271139914,-43.954755574556856,59.29092419571,21.6074067716,1.0814058
51781706269632256,0.234073714515997,"False",17.914946,3.1952152000000003,6.34843249622925,16.68247157492425,-39.23192135571094,58.85596789522,21.78077087877,1.0447263
51783737790828800,0.189586003791922,"False",14.118437,1.8220863,5.876640954302683,15.343851424550044,-36.23851441578485,59.03583459533,21.76311581808,1.0527575
51838679011752448,0.26963677623953,"False",16.458685,3.2090855,6.888272097633675,16.398943136759705,-42.3640484174692,62.44007718307,20.07770263027,1.0817537
51861425158394624,0.275647250065123,"False",9.267831,0.6623420999999999,8.110447551707917,18.954933416179053,-49.351713794388075,62.23086766523,20.3857769591,1.0892398
51874997255145728,0.275822825403001,"False",16.370054,2.9549513,6.9440053828541775,17.336758655343207,-42.49283900623973,61.6193270151,20.04364486222,0.90033394
