sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
final_current_mass_projected,cylinder,0.0,11.68,p031,1.9480000000000002,0.126,203
final_current_mass_3d,sphere,0.0,20.0,none,1.915,0.11799999999999988,228
final_current_mass_projected,cylinder,0.0,20.0,p000,1.933,0.11449999999999994,244
final_current_mass_projected,cylinder,0.0,20.0,p001,1.9260000000000002,0.11499999999999988,239
final_current_mass_projected,cylinder,0.0,20.0,p002,1.967,0.11399999999999988,247
final_current_mass_projected,cylinder,0.0,20.0,p003,1.9680000000000002,0.11399999999999999,249
final_current_mass_projected,cylinder,0.0,20.0,p004,1.965,0.11350000000000005,251
final_current_mass_projected,cylinder,0.0,20.0,p005,1.939,0.11399999999999988,247
final_current_mass_projected,cylinder,0.0,20.0,p006,1.959,0.11449999999999982,246
final_current_mass_projected,cylinder,0.0,20.0,p007,1.9460000000000002,0.11399999999999988,247
final_current_mass_projected,cylinder,0.0,20.0,p008,1.9640000000000002,0.11549999999999994,243
final_current_mass_projected,cylinder,0.0,20.0,p009,1.9940000000000002,0.11349999999999993,253
final_current_mass_projected,cylinder,0.0,20.0,p010,1.9360000000000002,0.11450000000000005,242
final_current_mass_projected,cylinder,0.0,20.0,p011,1.9100000000000001,0.11549999999999983,238
final_current_mass_projected,cylinder,0.0,20.0,p012,1.955,0.11349999999999982,250
final_current_mass_projected,cylinder,0.0,20.0,p013,1.951,0.11450000000000005,244
final_current_mass_projected,cylinder,0.0,20.0,p014,1.9380000000000002,0.11449999999999982,244
final_current_mass_projected,cylinder,0.0,20.0,p015,1.9280000000000002,0.11499999999999999,241
final_current_mass_projected,cylinder,0.0,20.0,p016,1.941,0.11499999999999988,241
final_current_mass_projected,cylinder,0.0,20.0,p017,1.9520000000000002,0.11599999999999988,239
final_current_mass_projected,cylinder,0.0,20.0,p018,1.939,0.11450000000000005,243
final_current_mass_projected,cylinder,0.0,20.0,p019,1.923,0.11450000000000005,242
final_current_mass_projected,cylinder,0.0,20.0,p020,1.935,0.11550000000000005,239
final_current_mass_projected,cylinder,0.0,20.0,p021,1.9700000000000002,0.11499999999999988,244
final_current_mass_projected,cylinder,0.0,20.0,p022,1.945,0.11449999999999994,244
final_current_mass_projected,cylinder,0.0,20.0,p023,1.931,0.11550000000000005,238
final_current_mass_projected,cylinder,0.0,20.0,p024,1.943,0.11299999999999988,250
final_current_mass_projected,cylinder,0.0,20.0,p025,1.957,0.11449999999999994,246
final_current_mass_projected,cylinder,0.0,20.0,p026,1.999,0.11349999999999993,253
final_current_mass_projected,cylinder,0.0,20.0,p027,1.9420000000000002,0.11499999999999988,243
final_current_mass_projected,cylinder,0.0,20.0,p028,1.9380000000000002,0.11549999999999983,239
final_current_mass_projected,cylinder,0.0,20.0,p029,1.9480000000000002,0.11299999999999988,251
final_current_mass_projected,cylinder,0.0,20.0,p030,1.947,0.11499999999999999,244
final_current_mass_projected,cylinder,0.0,20.0,p031,1.967,0.11399999999999988,247
final_current_mass_projected_annulus,annulus,0.0,2.0,p000,1.596,0.39,19
final_current_mass_projected_annulus,annulus,2.0,4.0,p000,1.673,0.2825,37
final_current_mass_projected_annulus,annulus,4.0,8.0,p000,2.137,0.1994999999999999,87
final_current_mass_projected_annulus,annulus,8.0,11.68,p000,1.842,0.272,42
final_current_mass_projected_annulus,annulus,11.68,20.0,p000,1.999,0.236,59
final_current_mass_projected_annulus,annulus,0.0,2.0,p001,0.854,0.5200000000000001,10
final_current_mass_projected_annulus,annulus,2.0,4.0,p001,1.489,0.262,41
final_current_mass_projected_annulus,annulus,4.0,8.0,p001,2.24,0.19700000000000006,94
final_current_mass_projected_annulus,annulus,8.0,11.68,p001,2.091,0.2640000000000001,49
