n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
128,0.02,2026081317,2.3840000000000003,2.3840000000000003,0.3039999999999998,0.6750000000000003,0.37100000000000044,1.216909191233414,1.334030268292436,0.11712107705902208,-0.0006064821124451187,True,2
128,0.02,2026081318,2.412,2.412,-0.03400000000000025,0.46499999999999986,0.4990000000000001,0.8969584028670096,1.079470136021678,0.1825117331546685,-0.004813915535498028,False,3
128,0.02,2026081319,2.135,2.135,-0.02400000000000002,0.3279999999999996,0.35199999999999965,0.8580576625765095,0.8374822000736111,-0.020575462502898434,-0.0028043541057300794,False,4
128,0.02,2026081320,2.0700000000000003,2.0700000000000003,-0.6290000000000002,-0.14100000000000001,0.4880000000000002,0.7287579969565724,0.9402218972949871,0.21146390033841467,-0.0009268947376877656,True,5
128,0.02,2026081321,2.386,2.386,-0.11500000000000021,0.46799999999999997,0.5830000000000002,0.9568282733366634,1.0437315778977014,0.08690330456103801,0.0009177707921865919,True,6
128,0.02,2026081322,2.37,2.37,-0.02800000000000047,0.5180000000000002,0.5460000000000007,0.9429183208852532,1.1493813429706015,0.20646302208534828,0.0002184067488736797,True,7
128,0.02,2026081323,1.952,1.952,0.32600000000000007,0.476,0.1499999999999999,1.154347164936503,1.265080858770254,0.11073369383375109,0.00041996745721805523,True,8
256,0.005,2026081324,2.491,2.491,0.29200000000000026,0.3610000000000002,0.06899999999999995,1.0412661249100583,1.07907033449495,0.03780420958489161,-0.0002710984984410481,True,1
256,0.005,2026081325,2.26,2.26,-0.3599999999999999,-0.008999999999999897,0.351,0.9698315042101919,1.11206005798925,0.14222855377905796,-0.0001154682016983235,True,2
256,0.005,2026081326,2.247,2.247,0.16199999999999992,0.27,0.1080000000000001,1.2889293893375715,1.1218799350934074,-0.16704945424416406,4.9330554087164846e-05,True,3
256,0.005,2026081327,2.3120000000000003,2.3120000000000003,0.36099999999999977,0.5209999999999999,0.16000000000000014,1.2260692201103973,1.3959498129236028,0.16988059281320544,-9.469951150837377e-05,True,4
256,0.005,2026081328,2.231,2.231,0.1379999999999999,0.5239999999999998,0.3859999999999999,1.0857270174058102,1.1554770604181173,0.06975004301230703,-0.0006610455014774116,True,5
256,0.005,2026081329,2.162,2.162,-0.28000000000000025,0.21399999999999997,0.4940000000000002,0.9302396102382672,1.1910331255833202,0.260793515345053,-0.0005364744954488703,True,6
256,0.005,2026081330,2.414,2.414,-0.10800000000000054,0.4620000000000002,0.5700000000000007,0.9373995893952322,1.1349850344521368,0.19758544505690467,-3.926983441593275e-05,True,7
256,0.005,2026081331,2.189,2.189,-0.10400000000000009,0.21699999999999964,0.32099999999999973,0.8646914597978596,0.9922900233509168,0.1275985635530572,1.1045127141935946e-05,True,8
256,0.01,2026081332,2.479,2.479,0.2799999999999998,0.472,0.19200000000000017,1.0895764220981357,1.343915737374926,0.2543393152767903,-7.69003480606608e-05,True,1
256,0.01,2026081333,2.473,2.473,-0.19399999999999995,0.30100000000000016,0.4950000000000001,0.9427381905607652,1.2248913384294624,0.28215314786869716,-0.002257285876825133,False,2
