n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
128,0.02,2026081316,2.21,2.21,-0.20699999999999985,0.7670000000000001,0.974,0.8798574170173586,1.23192493981079,0.35206752279343145,-0.005418148497030821,False,1
128,0.02,2026081317,2.3840000000000003,2.3840000000000003,0.3039999999999998,0.69,0.3860000000000001,1.216909191233414,1.2913609419757832,0.0744517507423692,0.0002437376319718706,True,2
128,0.02,2026081318,2.412,2.412,-0.03400000000000025,0.2200000000000002,0.25400000000000045,0.8969584028670096,0.9031647510450569,0.006206348178047327,-0.0021702056157187157,False,3
128,0.02,2026081319,2.135,2.135,-0.02400000000000002,0.3279999999999996,0.35199999999999965,0.8580576625765095,0.8389410445298394,-0.019116618046670086,-0.0007588820456077592,True,4
128,0.02,2026081320,2.0700000000000003,2.0700000000000003,-0.6290000000000002,-0.013000000000000345,0.6159999999999999,0.7287579969565724,0.9957598582912165,0.2670018613346441,-0.0004919901417174793,True,5
128,0.02,2026081321,2.386,2.386,-0.11500000000000021,0.22999999999999998,0.3450000000000002,0.9568282733366634,0.9633874311123539,0.006559157775690494,-0.0032873814341228625,False,6
128,0.02,2026081322,2.37,2.37,-0.02800000000000047,0.32600000000000007,0.35400000000000054,0.9429183208852532,1.159255010083905,0.2163366891986518,-7.499124244664393e-06,True,7
128,0.02,2026081323,1.952,1.952,0.32600000000000007,0.3579999999999999,0.031999999999999806,1.154347164936503,1.0888244147291632,-0.06552275020733966,0.000920765607025312,True,8
256,0.005,2026081324,2.491,2.491,0.29200000000000026,0.31700000000000017,0.02499999999999991,1.0412661249100583,1.2116317058501451,0.1703655809400868,-1.5728579169021782e-05,True,1
256,0.005,2026081325,2.26,2.26,-0.3599999999999999,0.11999999999999966,0.47999999999999954,0.9698315042101919,1.0767217092048254,0.10689020499463342,-0.0009563500176765069,True,2
