phi0,g,delta,rh_pc,rt_pc,converged,nll,error,seconds,iteration
4.0,0.0,0.0,4.0,11.490878966654423,True,1297.9486552767462,,0.13390889996662736,1
4.0,0.0,0.0,5.0,14.363598708318028,True,1280.5082020995135,,0.1339400999713689,1
4.0,0.0,0.0,6.0,17.236318449981635,True,1323.3054405349887,,0.13790339999832213,1
4.0,0.0,0.0,8.0,22.981757933308845,True,1425.941509567061,,0.13513640011660755,1
4.0,0.0,0.0,10.0,28.727197416636056,True,1514.4253019305556,,0.13465350004844368,1
4.0,0.0,0.15,2.0,5.927791298844502,True,3598.2598179775973,,0.22377260006032884,1
4.0,0.0,0.15,3.0,8.891686948266754,True,1950.601573275726,,0.22184070013463497,1
4.0,0.0,0.15,4.0,11.855582597689004,True,1281.4665114158863,,0.2202097000554204,1
4.0,0.0,0.15,5.0,14.819478247111256,True,1280.973918134518,,0.21956130000762641,1
4.0,0.0,0.15,6.0,17.783373896533508,True,1327.7025013723278,,0.2197539999615401,1
4.0,0.0,0.15,8.0,23.71116519537801,True,1430.5705424817427,,0.22528130002319813,1
4.0,0.0,0.15,10.0,29.638956494222512,True,1517.6136225733558,,0.22056169994175434,1
4.0,0.0,0.3,2.0,6.226055096462852,True,3522.662391867321,,0.2343373999465257,1
4.0,0.0,0.3,3.0,9.339082644694276,True,1916.6144414788314,,0.23007709998637438,1
4.0,0.0,0.3,4.0,12.452110192925703,True,1271.9635643948159,,0.23850029986351728,1
4.0,0.0,0.3,5.0,15.565137741157129,True,1287.4187874550912,,0.2308221000712365,1
4.0,0.0,0.3,6.0,18.678165289388552,True,1335.363236777102,,0.23450860008597374,1
4.0,0.0,0.3,8.0,24.904220385851406,True,1431.9818101394942,,0.23310810001567006,1
4.0,0.0,0.3,10.0,31.130275482314257,True,1511.8550357383576,,0.23312800005078316,1
4.0,0.0,0.45,2.0,6.527086015567987,True,3460.65787535086,,0.27069279993884265,1
4.0,0.0,0.45,3.0,9.790629023351979,True,1458.675325087472,,0.2714682000223547,1
4.0,0.0,0.45,4.0,13.054172031135973,True,1276.1639682958103,,0.27028950001113117,1
4.0,0.0,0.45,5.0,16.317715038919964,True,1302.0177375202024,,0.2795829998794943,1
4.0,0.0,0.45,6.0,19.581258046703958,True,1347.0478262695285,,0.2797213001176715,1
4.0,0.0,0.45,8.0,26.108344062271946,True,1429.5965705415658,,0.273135099792853,1
4.0,0.0,0.45,10.0,32.63543007783993,True,1495.7361961441227,,0.2705357000231743,1
4.0,0.0,0.6,2.0,6.182948678082767,True,3505.1228505673703,,0.3858241999987513,1
4.0,0.0,0.6,3.0,9.274423017124152,True,1922.1127220342332,,0.38067829981446266,1
4.0,0.0,0.6,4.0,12.365897356165535,True,1294.7577675759367,,0.38960640016011894,1
4.0,0.0,0.6,5.0,15.457371695206918,True,1318.8298243202453,,0.3834228999912739,1
4.0,0.0,0.6,6.0,18.548846034248303,True,1364.675748147712,,0.3784414001274854,1
4.0,0.0,0.6,8.0,24.73179471233107,True,1440.2567896795958,,0.3812813002150506,1
4.0,0.0,0.6,10.0,30.914743390413836,True,1492.8639013220043,,0.38221230008639395,1
4.0,1.0,0.0,2.0,8.76003639422637,True,2327.2159755611588,,0.11794729996472597,1
4.0,1.0,0.0,3.0,13.140054591339556,True,1376.4718120584048,,0.1173113000113517,1
4.0,1.0,0.0,4.0,17.52007278845274,True,1272.2004686313128,,0.12254959996789694,1
4.0,1.0,0.0,5.0,21.900090985565928,True,1278.2246287496155,,0.12433949997648597,1
4.0,1.0,0.0,6.0,26.280109182679112,True,1316.126207664282,,0.1229324999731034,1
4.0,1.0,0.0,8.0,35.04014557690548,True,1410.903945483302,,0.12414059997536242,1
4.0,1.0,0.0,10.0,43.800181971131856,True,1499.1551269303454,,0.12503640004433692,1
4.0,1.0,0.15,2.0,9.131767062806677,True,2254.5730641768914,,0.20618800004012883,1
4.0,1.0,0.15,3.0,13.697650594210014,True,1349.7810445168325,,0.2083471999503672,1
4.0,1.0,0.15,4.0,18.263534125613354,True,1265.5792311699615,,0.21451710001565516,1
4.0,1.0,0.15,5.0,22.829417657016695,True,1277.9286041426897,,0.20652789995074272,1
4.0,1.0,0.15,6.0,27.395301188420028,True,1317.74104249907,,0.2087817001156509,1
