run_id,n_systems,binary_system_fraction,n_stars,n_binaries,profile,mcluster_S,half_mass_radius_pc,imf_alpha_low,imf_alpha_high,seed,galactic_tide,priority,status
mb_train_0069_s40070,1580,0.9446,3072,1492,2,0.1163,4.0126,1.3060,3.3152,40070,true,1,ready
mb_train_0070_s40071,1532,0.6757,2567,1035,2,0.4346,3.9367,0.3619,2.1743,40071,true,1,ready
mb_train_0071_s40072,1660,0.6805,2790,1130,2,0.1659,3.8657,1.7386,2.3263,40072,true,1,ready
mb_train_0072_s40073,1453,0.9488,2832,1379,2,0.2394,3.6528,1.3812,1.3444,40073,true,1,ready
mb_train_0073_s40074,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,40074,true,1,ready
mb_train_0073_s90732,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90732,true,1,ready
mb_train_0073_s90733,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90733,true,1,ready
mb_train_0073_s90734,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90734,true,1,ready
mb_train_0073_s90735,1419,0.3825,1962,543,2,0.2449,2.7859,1.5753,1.2536,90735,true,1,ready
mb_train_0074_s40075,1493,0.8087,2700,1207,2,0.1928,4.3890,1.9422,1.6187,40075,true,1,ready
mb_train_0075_s40076,1207,0.8153,2191,984,2,0.1137,2.6909,1.2697,3.3938,40076,true,1,ready
mb_train_0076_s40077,1434,0.5647,2244,810,2,0.1018,2.7751,0.6311,3.3408,40077,true,1,ready
mb_train_0077_s40078,1475,0.7441,2573,1098,2,0.2559,2.5960,1.5085,1.5148,40078,true,1,ready
mb_train_0078_s40079,1414,0.4982,2118,704,2,0.3061,3.0106,1.0107,1.4196,40079,true,1,ready
mb_train_0079_s40080,1200,0.5529,1863,663,2,0.3249,2.9982,0.6784,1.3137,40080,true,1,ready
mb_train_0080_s40081,1380,0.4845,2049,669,2,0.1323,2.6809,0.8279,2.5669,40081,true,1,ready
mb_train_0081_s40082,1566,0.3836,2167,601,2,0.0388,4.1012,1.7023,1.5582,40082,true,1,ready
mb_train_0082_s40083,1637,0.7019,2786,1149,2,0.2306,2.9553,0.7708,2.1398,40083,true,1,ready
mb_train_0083_s40084,1546,0.7131,2648,1102,2,0.1101,4.4732,0.5886,2.8714,40084,true,1,ready
mb_train_0084_s40085,1215,0.3511,1642,427,2,0.0337,4.1461,1.1433,2.7658,40085,true,1,ready
mb_train_0085_s40086,1581,0.6012,2531,950,2,0.0976,3.4196,0.5355,1.7301,40086,true,1,ready
mb_train_0086_s40087,1560,0.4538,2268,708,2,0.4500,3.9031,1.6421,2.2254,40087,true,1,ready
mb_train_0087_s40088,1469,0.6048,2357,888,2,0.3469,2.7547,0.4627,1.2468,40088,true,1,ready
mb_train_0088_s40089,1610,0.5884,2557,947,2,0.2780,4.4248,1.9649,2.0525,40089,true,1,ready
mb_train_0089_s40090,1694,0.8958,3211,1517,2,0.1988,4.3251,1.9307,1.7861,40090,true,1,ready
mb_train_0090_s40091,1530,0.5422,2360,830,2,0.4518,3.4823,0.9340,2.5767,40091,true,1,ready
mb_train_0091_s40092,1264,0.4170,1791,527,2,0.1942,3.1205,0.6499,3.1165,40092,true,1,ready
mb_train_0091_s90912,1264,0.4170,1791,527,2,0.1942,3.1205,0.6499,3.1165,90912,true,1,ready
mb_train_0091_s90913,1264,0.4170,1791,527,2,0.1942,3.1205,0.6499,3.1165,90913,true,1,ready
mb_train_0091_s90914,1264,0.4170,1791,527,2,0.1942,3.1205,0.6499,3.1165,90914,true,1,ready
mb_train_0091_s90915,1264,0.4170,1791,527,2,0.1942,3.1205,0.6499,3.1165,90915,true,1,ready
mb_train_0092_s40093,1239,0.7643,2186,947,2,0.4144,3.3404,1.2504,1.3049,40093,true,1,ready
mb_train_0093_s40094,1596,0.6035,2559,963,2,0.4274,4.1421,0.8740,1.4512,40094,true,1,ready
mb_train_0094_s40095,1627,0.6558,2694,1067,2,0.4825,4.1092,1.1213,1.1983,40095,true,1,ready
mb_train_0095_s40096,1456,0.6969,2471,1015,2,0.3944,3.7366,1.8608,3.0010,40096,true,1,ready
mb_train_0096_s40097,1253,0.9206,2407,1154,2,0.2420,3.0150,1.7761,2.0391,40097,true,1,ready
mb_train_0097_s40098,1515,0.8811,2850,1335,2,0.2201,3.4048,0.8782,2.6290,40098,true,1,ready
mb_train_0098_s40099,1331,0.6180,2154,823,2,0.2934,2.6411,1.8118,2.4762,40099,true,1,ready
mb_train_0099_s40100,1323,0.5067,1993,670,2,0.0418,2.5284,1.1115,2.6511,40100,true,1,ready
mb_train_0100_s40101,1502,0.9131,2873,1371,2,0.2236,3.3608,1.0737,3.0623,40101,true,1,ready
mb_train_0101_s40102,1559,0.8505,2885,1326,2,0.1481,4.0482,1.8871,2.9973,40102,true,1,ready
mb_train_0102_s40103,1444,0.5763,2276,832,2,0.3507,4.2765,0.4890,2.1453,40103,true,1,ready
mb_train_0103_s40104,1533,0.6788,2574,1041,2,0.1717,4.0358,0.6678,2.0004,40104,true,1,ready
mb_train_0104_s40105,1416,0.6526,2340,924,2,0.2081,2.5443,1.6719,1.3510,40105,true,1,ready
mb_train_0105_s40106,1387,0.3216,1833,446,2,0.2379,4.4313,0.3574,3.4014,40106,true,1,ready
mb_train_0106_s40107,1412,0.3421,1895,483,2,0.4322,4.4473,1.1930,1.3888,40107,true,1,ready
mb_train_0107_s40108,1613,0.8548,2992,1379,2,0.3697,3.1294,0.7976,2.3295,40108,true,1,ready
mb_train_0108_s40109,1690,0.4867,2513,823,2,0.4398,4.3112,0.4835,1.1419,40109,true,1,ready
mb_train_0109_s40110,1565,0.6175,2531,966,2,0.2473,3.5438,1.0616,3.1302,40110,true,1,ready
mb_train_0110_s40111,1700,0.7560,2985,1285,2,0.1287,2.4611,0.6695,1.9390,40111,true,1,ready
mb_train_0110_s91102,1700,0.7560,2985,1285,2,0.1287,2.4611,0.6695,1.9390,91102,true,1,ready
mb_train_0110_s91103,1700,0.7560,2985,1285,2,0.1287,2.4611,0.6695,1.9390,91103,true,1,ready
mb_train_0110_s91104,1700,0.7560,2985,1285,2,0.1287,2.4611,0.6695,1.9390,91104,true,1,ready
mb_train_0110_s91105,1700,0.7560,2985,1285,2,0.1287,2.4611,0.6695,1.9390,91105,true,1,ready
mb_train_0111_s40112,1492,0.5414,2300,808,2,0.3714,3.3359,1.8502,2.9203,40112,true,1,ready
mb_train_0112_s40113,1288,0.6650,2145,857,2,0.0279,4.4997,0.7496,1.5665,40113,true,1,ready
mb_train_0113_s40114,1265,0.8758,2373,1108,2,0.4018,4.1973,1.6394,1.4276,40114,true,1,ready
mb_train_0114_s40115,1629,0.7703,2884,1255,2,0.2047,4.2222,1.0038,3.4402,40115,true,1,ready
mb_train_0115_s40116,1329,0.7825,2369,1040,2,0.1120,2.4299,0.7468,1.2146,40116,true,1,ready
mb_train_0116_s40117,1285,0.6594,2132,847,2,0.0684,2.5553,1.7652,2.4499,40117,true,1,ready
mb_train_0117_s40118,1399,0.6115,2254,855,2,0.1308,3.3226,0.6383,2.8085,40118,true,1,ready
mb_train_0118_s40119,1549,0.4105,2185,636,2,0.4602,2.4382,1.0379,3.3039,40119,true,1,ready
mb_train_0119_s40120,1433,0.3909,1993,560,2,0.0690,4.2327,0.7875,3.4979,40120,true,1,ready
mb_train_0120_s40121,1527,0.3665,2087,560,2,0.3378,4.4578,1.6806,2.4561,40121,true,1,ready
mb_train_0121_s40122,1346,0.9098,2571,1225,2,0.3033,2.4175,1.5553,1.1788,40122,true,1,ready
mb_train_0122_s40123,1681,0.3380,2249,568,2,0.1773,3.6984,0.4971,1.8544,40123,true,1,ready
mb_train_0123_s40124,1246,0.7120,2133,887,2,0.2399,3.4625,1.8444,2.6820,40124,true,1,ready
mb_train_0124_s40125,1675,0.5848,2655,980,2,0.4901,2.6555,1.5632,1.8676,40125,true,1,ready
mb_train_0125_s40126,1249,0.4037,1753,504,2,0.3045,2.4429,0.4212,2.2020,40126,true,1,ready
mb_train_0126_s40127,1618,0.7306,2800,1182,2,0.0809,3.9251,1.5461,2.8360,40127,true,1,ready
mb_train_0127_s40128,1205,0.7194,2072,867,2,0.0128,3.0004,0.5294,1.4658,40128,true,1,ready
mb_train_0128_s40129,1497,0.9411,2906,1409,2,0.3732,3.2814,0.5544,3.4277,40129,true,1,ready
mb_train_0128_s91282,1497,0.9411,2906,1409,2,0.3732,3.2814,0.5544,3.4277,91282,true,1,ready
mb_train_0128_s91283,1497,0.9411,2906,1409,2,0.3732,3.2814,0.5544,3.4277,91283,true,1,ready
mb_train_0128_s91284,1497,0.9411,2906,1409,2,0.3732,3.2814,0.5544,3.4277,91284,true,1,ready
mb_train_0128_s91285,1497,0.9411,2906,1409,2,0.3732,3.2814,0.5544,3.4277,91285,true,1,ready
mb_train_0129_s40130,1622,0.9277,3127,1505,2,0.1865,2.8309,1.3164,1.7180,40130,true,1,ready
mb_train_0130_s40131,1653,0.8647,3082,1429,2,0.1337,2.5332,1.3243,2.9507,40131,true,1,ready
mb_train_0131_s40132,1318,0.7265,2276,958,2,0.3303,3.7779,0.3876,1.7073,40132,true,1,ready
mb_train_0132_s40133,1643,0.8251,2999,1356,2,0.4206,3.0299,1.5933,1.0943,40133,true,1,ready
mb_train_0133_s40134,1245,0.6007,1993,748,2,0.1841,2.7290,1.2095,3.2342,40134,true,1,ready
mb_train_0134_s40135,1251,0.8090,2263,1012,2,0.4905,4.0199,0.3390,1.1891,40135,true,1,ready
mb_train_0135_s40136,1431,0.4083,2015,584,2,0.4968,2.5901,0.3168,2.7148,40136,true,1,ready
mb_train_0136_s40137,1320,0.7620,2326,1006,2,0.2760,3.6067,1.8766,2.4364,40137,true,1,ready
mb_train_0137_s40138,1327,0.5291,2029,702,2,0.4281,3.7036,1.8304,3.2392,40138,true,1,ready
mb_train_0138_s40139,1638,0.8822,3083,1445,2,0.0902,3.0340,0.8116,3.1221,40139,true,1,ready
mb_train_0139_s40140,1696,0.8268,3098,1402,2,0.2483,2.6475,1.3615,1.4461,40140,true,1,ready
mb_train_0140_s40141,1377,0.9245,2650,1273,2,0.0835,3.9962,0.8566,1.3850,40141,true,1,ready
mb_train_0141_s40142,1395,0.6934,2362,967,2,0.2619,3.3788,1.1516,3.0339,40142,true,1,ready
mb_train_0142_s40143,1589,0.5480,2460,871,2,0.1405,3.1029,0.6254,2.7544,40143,true,1,ready
mb_train_0143_s40144,1447,0.5771,2282,835,2,0.3323,2.8912,0.5043,2.0971,40144,true,1,ready
mb_train_0144_s40145,1551,0.6368,2539,988,2,0.0876,3.5998,0.8053,1.4004,40145,true,1,ready
mb_train_0145_s40146,1386,0.5728,2180,794,2,0.2866,3.2618,0.4239,2.7837,40146,true,1,ready
mb_train_0146_s40147,1568,0.6849,2642,1074,2,0.4032,3.9959,1.5484,1.1258,40147,true,1,ready
mb_train_0146_s91462,1568,0.6849,2642,1074,2,0.4032,3.9959,1.5484,1.1258,91462,true,1,ready
mb_train_0146_s91463,1568,0.6849,2642,1074,2,0.4032,3.9959,1.5484,1.1258,91463,true,1,ready
mb_train_0146_s91464,1568,0.6849,2642,1074,2,0.4032,3.9959,1.5484,1.1258,91464,true,1,ready
mb_train_0146_s91465,1568,0.6849,2642,1074,2,0.4032,3.9959,1.5484,1.1258,91465,true,1,ready
mb_train_0147_s40148,1571,0.9346,3039,1468,2,0.3253,3.7672,0.6890,2.5804,40148,true,1,ready
mb_train_0148_s40149,1345,0.5818,2128,783,2,0.0559,3.9756,0.8731,1.9674,40149,true,1,ready
mb_train_0149_s40150,1602,0.6877,2704,1102,2,0.3006,2.9878,1.5987,2.3982,40150,true,1,ready
mb_train_0150_s40151,1607,0.6233,2609,1002,2,0.4641,3.3289,1.7145,1.3939,40151,true,1,ready
mb_train_0151_s40152,1398,0.7374,2429,1031,2,0.1685,3.7391,1.6789,1.9337,40152,true,1,ready
mb_train_0152_s40153,1688,0.7217,2906,1218,2,0.2037,3.3679,1.7428,2.3452,40153,true,1,ready
mb_train_0153_s40154,1481,0.3458,1993,512,2,0.3348,3.4875,1.2522,3.2020,40154,true,1,ready
mb_train_0154_s40155,1225,0.8040,2210,985,2,0.3481,3.6284,1.4581,3.3100,40155,true,1,ready
mb_train_0155_s40156,1298,0.8486,2399,1101,2,0.1916,4.3615,0.7190,1.9601,40156,true,1,ready
mb_train_0156_s40157,1583,0.5626,2474,891,2,0.2852,2.7712,1.9106,1.2063,40157,true,1,ready
mb_train_0157_s40158,1363,0.4605,1991,628,2,0.4716,3.1867,0.3315,3.0080,40158,true,1,ready
mb_train_0158_s40159,1639,0.3941,2285,646,2,0.0733,2.5618,0.6452,1.7561,40159,true,1,ready
mb_train_0159_s40160,1482,0.8595,2756,1274,2,0.2213,3.8874,1.2724,1.9191,40160,true,1,ready
mb_train_0160_s40161,1509,0.5577,2351,842,2,0.2949,3.9508,1.5191,3.0266,40161,true,1,ready
mb_train_0161_s40162,1256,0.6467,2068,812,2,0.4149,3.2210,1.1051,1.1528,40162,true,1,ready
mb_train_0162_s40163,1592,0.5554,2476,884,2,0.1216,4.0511,1.8822,2.5600,40163,true,1,ready
mb_train_0163_s40164,1362,0.6267,2216,854,2,0.2160,2.8728,0.4006,3.3610,40164,true,1,ready
mb_train_0164_s40165,1485,0.5193,2256,771,2,0.2800,4.4196,1.9543,2.7358,40165,true,1,ready
mb_train_0165_s40166,1353,0.8415,2492,1139,2,0.1545,3.4250,1.2152,1.6716,40166,true,1,ready
mb_train_0165_s91652,1353,0.8415,2492,1139,2,0.1545,3.4250,1.2152,1.6716,91652,true,1,ready
mb_train_0165_s91653,1353,0.8415,2492,1139,2,0.1545,3.4250,1.2152,1.6716,91653,true,1,ready
mb_train_0165_s91654,1353,0.8415,2492,1139,2,0.1545,3.4250,1.2152,1.6716,91654,true,1,ready
mb_train_0165_s91655,1353,0.8415,2492,1139,2,0.1545,3.4250,1.2152,1.6716,91655,true,1,ready
mb_train_0166_s40167,1272,0.6211,2062,790,2,0.3453,3.6698,0.5826,1.7623,40167,true,1,ready
mb_train_0167_s40168,1228,0.5738,1933,705,2,0.2530,4.1804,1.7527,1.8605,40168,true,1,ready
mb_train_0168_s40169,1401,0.9308,2705,1304,2,0.4485,4.2068,1.1867,2.3506,40169,true,1,ready
mb_train_0169_s40170,1289,0.8170,2342,1053,2,0.2173,2.4778,1.1483,1.6374,40170,true,1,ready
mb_train_0170_s40171,1237,0.7277,2137,900,2,0.3218,4.0856,1.0401,2.3016,40171,true,1,ready
mb_train_0171_s40172,1521,0.9386,2949,1428,2,0.3804,3.4990,0.9445,1.9809,40172,true,1,ready
mb_train_0172_s40173,1676,0.8312,3069,1393,2,0.3740,3.9853,0.4684,1.4888,40173,true,1,ready
mb_train_0173_s40174,1292,0.7750,2293,1001,2,0.3313,2.6337,0.7907,1.6496,40174,true,1,ready
mb_train_0174_s40175,1207,0.7868,2157,950,2,0.0820,2.7414,1.7098,2.0274,40175,true,1,ready
mb_train_0175_s40176,1684,0.4542,2449,765,2,0.2707,2.6713,1.6167,3.1825,40176,true,1,ready
mb_train_0176_s40177,1600,0.3802,2208,608,2,0.2325,4.1173,1.8578,2.2519,40177,true,1,ready
mb_train_0177_s40178,1326,0.4958,1983,657,2,0.4364,2.6010,0.6998,2.9635,40178,true,1,ready
mb_train_0178_s40179,1698,0.8845,3200,1502,2,0.4761,4.3479,0.3867,3.4690,40179,true,1,ready
mb_train_0179_s40180,1271,0.3160,1673,402,2,0.1598,4.0313,0.9221,2.8016,40180,true,1,ready
mb_train_0180_s40181,1535,0.6338,2508,973,2,0.3207,3.4020,0.3945,2.7921,40181,true,1,ready
mb_train_0181_s40182,1455,0.7936,2610,1155,2,0.1813,3.3436,0.7820,3.2653,40182,true,1,ready
mb_train_0182_s40183,1539,0.6495,2539,1000,2,0.2966,2.4895,1.1581,1.6575,40183,true,1,ready
mb_train_0183_s40184,1280,0.8755,2401,1121,2,0.3085,2.9309,0.5640,2.9475,40184,true,1,ready
mb_train_0183_s91832,1280,0.8755,2401,1121,2,0.3085,2.9309,0.5640,2.9475,91832,true,1,ready
mb_train_0183_s91833,1280,0.8755,2401,1121,2,0.3085,2.9309,0.5640,2.9475,91833,true,1,ready
mb_train_0183_s91834,1280,0.8755,2401,1121,2,0.3085,2.9309,0.5640,2.9475,91834,true,1,ready
mb_train_0183_s91835,1280,0.8755,2401,1121,2,0.3085,2.9309,0.5640,2.9475,91835,true,1,ready
mb_train_0184_s40185,1577,0.5698,2476,899,2,0.3955,3.8302,0.9708,2.5384,40185,true,1,ready
mb_train_0185_s40186,1349,0.6439,2218,869,2,0.3020,2.9033,1.7833,1.7250,40186,true,1,ready
mb_train_0186_s40187,1623,0.5599,2532,909,2,0.1179,4.3148,1.6253,3.0194,40187,true,1,ready
mb_train_0187_s40188,1440,0.5607,2247,807,2,0.1515,3.2912,0.9014,2.1843,40188,true,1,ready
mb_train_0188_s40189,1463,0.4004,2049,586,2,0.0082,3.0184,0.6257,3.2518,40189,true,1,ready
mb_train_0189_s40190,1370,0.4419,1975,605,2,0.2653,3.9349,1.0707,1.1056,40190,true,1,ready
mb_train_0190_s40191,1357,0.8986,2576,1219,2,0.2123,3.2431,1.3497,1.0147,40191,true,1,ready
mb_train_0191_s40192,1217,0.6490,2007,790,2,0.1740,2.8600,1.0801,2.0214,40192,true,1,ready
mb_train_0192_s40193,1569,0.9052,2989,1420,2,0.3136,2.9203,1.2314,2.9826,40193,true,1,ready
mb_train_0193_s40194,1348,0.3298,1793,445,2,0.1043,2.6088,1.1376,1.5247,40194,true,1,ready
mb_train_0194_s40195,1258,0.5116,1902,644,2,0.1763,4.0933,0.8344,2.2998,40195,true,1,ready
